"rgn_id","product","year","gap_fill"
1,"corals",1995,0
1,"corals",1996,0
1,"corals",1997,0
1,"corals",1998,0
1,"corals",1999,0
1,"corals",2000,0
1,"corals",2001,0
1,"corals",2002,0
1,"corals",2003,0
1,"corals",2004,0
1,"corals",2005,0
1,"corals",2006,0
1,"corals",2007,0
1,"corals",2008,0
1,"corals",2009,0
1,"corals",2010,0
1,"corals",2011,0
2,"corals",1995,0
2,"corals",1996,0
2,"corals",1997,0
2,"corals",1998,0
2,"corals",1999,0
2,"corals",2000,0
2,"corals",2001,0
2,"corals",2002,0
2,"corals",2003,0
2,"corals",2004,0
2,"corals",2005,0
2,"corals",2006,0
2,"corals",2007,0
2,"corals",2008,0
2,"corals",2009,0
2,"corals",2010,0
2,"corals",2011,0
3,"corals",1995,0
3,"corals",1996,0
3,"corals",1997,0
3,"corals",1998,0
3,"corals",1999,0
3,"corals",2000,0
3,"corals",2001,0
3,"corals",2002,0
3,"corals",2003,0
3,"corals",2004,0
3,"corals",2005,0
3,"corals",2006,0
3,"corals",2007,0
3,"corals",2008,0
3,"corals",2009,0
3,"corals",2010,0
3,"corals",2011,0
1,"seaweeds",1998,0
1,"seaweeds",1999,0
1,"seaweeds",2000,0
1,"seaweeds",2001,0
1,"seaweeds",2002,0
1,"seaweeds",2003,0
1,"seaweeds",2004,0
1,"seaweeds",2005,0
1,"seaweeds",2006,0
1,"seaweeds",2007,0
1,"seaweeds",2008,0
1,"seaweeds",2009,0
1,"seaweeds",2010,0
1,"seaweeds",2011,0
2,"seaweeds",1998,0
2,"seaweeds",1999,0
2,"seaweeds",2000,0
2,"seaweeds",2001,0
2,"seaweeds",2002,0
2,"seaweeds",2003,0
2,"seaweeds",2004,0
2,"seaweeds",2005,0
2,"seaweeds",2006,0
2,"seaweeds",2007,0
2,"seaweeds",2008,0
2,"seaweeds",2009,0
2,"seaweeds",2010,0
2,"seaweeds",2011,0
3,"seaweeds",1998,0
3,"seaweeds",1999,0
3,"seaweeds",2000,0
3,"seaweeds",2001,0
3,"seaweeds",2002,0
3,"seaweeds",2003,0
3,"seaweeds",2004,0
3,"seaweeds",2005,0
3,"seaweeds",2006,0
3,"seaweeds",2007,0
3,"seaweeds",2008,0
3,"seaweeds",2009,0
3,"seaweeds",2010,0
3,"seaweeds",2011,0
1,"ornamentals",1976,0
1,"ornamentals",1977,0
1,"ornamentals",1978,0
1,"ornamentals",1979,0
1,"ornamentals",1980,0
1,"ornamentals",1981,0
1,"ornamentals",1982,0
1,"ornamentals",1983,0
1,"ornamentals",1984,0
1,"ornamentals",1985,0
1,"ornamentals",1986,0
1,"ornamentals",1987,0
1,"ornamentals",1988,0
1,"ornamentals",1989,0
1,"ornamentals",1990,0
1,"ornamentals",1991,0
1,"ornamentals",1992,0
1,"ornamentals",1993,0
1,"ornamentals",1994,0
1,"ornamentals",1995,0
1,"ornamentals",1996,0
1,"ornamentals",1997,0
1,"ornamentals",1998,0
1,"ornamentals",1999,0
1,"ornamentals",2000,0
1,"ornamentals",2001,0
1,"ornamentals",2002,0
1,"ornamentals",2003,0
1,"ornamentals",2004,0
1,"ornamentals",2005,0
1,"ornamentals",2006,0
1,"ornamentals",2007,0
1,"ornamentals",2008,0
1,"ornamentals",2009,0
1,"ornamentals",2010,0
1,"ornamentals",2011,0
1,"sponges",2007,0
1,"sponges",2008,0
1,"sponges",2009,0
1,"sponges",2010,0
1,"sponges",2011,0
2,"ornamentals",1976,0
2,"ornamentals",1977,0
2,"ornamentals",1978,0
2,"ornamentals",1979,0
2,"ornamentals",1980,0
2,"ornamentals",1981,0
2,"ornamentals",1982,0
2,"ornamentals",1983,0
2,"ornamentals",1984,0
2,"ornamentals",1985,0
2,"ornamentals",1986,0
2,"ornamentals",1987,0
2,"ornamentals",1988,0
2,"ornamentals",1989,0
2,"ornamentals",1990,0
2,"ornamentals",1991,0
2,"ornamentals",1992,0
2,"ornamentals",1993,0
2,"ornamentals",1994,0
2,"ornamentals",1995,0
2,"ornamentals",1996,0
2,"ornamentals",1997,0
2,"ornamentals",1998,0
2,"ornamentals",1999,0
2,"ornamentals",2000,0
2,"ornamentals",2001,0
2,"ornamentals",2002,0
2,"ornamentals",2003,0
2,"ornamentals",2004,0
2,"ornamentals",2005,0
2,"ornamentals",2006,0
2,"ornamentals",2007,0
2,"ornamentals",2008,0
2,"ornamentals",2009,0
2,"ornamentals",2010,0
2,"ornamentals",2011,0
2,"sponges",2007,0
2,"sponges",2008,0
2,"sponges",2009,0
2,"sponges",2010,0
2,"sponges",2011,0
3,"ornamentals",1976,0
3,"ornamentals",1977,0
3,"ornamentals",1978,0
3,"ornamentals",1979,0
3,"ornamentals",1980,0
3,"ornamentals",1981,0
3,"ornamentals",1982,0
3,"ornamentals",1983,0
3,"ornamentals",1984,0
3,"ornamentals",1985,0
3,"ornamentals",1986,0
3,"ornamentals",1987,0
3,"ornamentals",1988,0
3,"ornamentals",1989,0
3,"ornamentals",1990,0
3,"ornamentals",1991,0
3,"ornamentals",1992,0
3,"ornamentals",1993,0
3,"ornamentals",1994,0
3,"ornamentals",1995,0
3,"ornamentals",1996,0
3,"ornamentals",1997,0
3,"ornamentals",1998,0
3,"ornamentals",1999,0
3,"ornamentals",2000,0
3,"ornamentals",2001,0
3,"ornamentals",2002,0
3,"ornamentals",2003,0
3,"ornamentals",2004,0
3,"ornamentals",2005,0
3,"ornamentals",2006,0
3,"ornamentals",2007,0
3,"ornamentals",2008,0
3,"ornamentals",2009,0
3,"ornamentals",2010,0
3,"ornamentals",2011,0
3,"sponges",2007,0
3,"sponges",2008,0
3,"sponges",2009,0
3,"sponges",2010,0
3,"sponges",2011,0
